1084;Nancy Spero;Codex Artaud XIII;1972
1085;unk;It's Even Worse in Europe;1986
1197;Christian Boltanski;Réserve de Suisses morts;1991
1198;Juan Muñoz;The Nature of Visual Illusion;1994-1997
1163;Joaquín Torres-García;Estructura con varilla blanca y círculo rojo superpuestos;1935
1164;Joan Miró;Oiseau;1946-1949
1165;Joan Miró;Tête;1946-1949
1166;Joan Miró;Oiseau (Solaire);ca. 1946
1199;Leonor Antunes;Anni #18 Fragment 13;2015
1188;Antoni Cumella;unk;unk
1189;Antoni Cumella;unk;unk
1190;Antoni Cumella;unk;unk
1167;Joan Miró;Femme;1949
1168;Joan Miró;Personnage;1949
1169;Joan Miró;Femme;1949
1170;Joan Miró;Femme;1949
1171;Joan Miró;Tête;1950
1172;Antoni Cumella;unk;1951
1159;Joaquín Torres-García;Formas sobre fondo blanco;1924
1173;Antoni Cumella;unk;1952
1193;Constant;Construction aux plans transparents;1954
1174;Antoni Cumella;unk;1955
1086;unk;Bus Co.;1989
1087;unk;Do Women Have to Be Naked to Get into the Met. Museum?;1989
1175;Antoni Cumella;unk;1956
1176;Antoni Cumella;unk;1956
1177;Jorge Oteiza;Variante ovoide de la desocupación de la esfera;1958
1178;Antoni Cumella;unk;1958
1179;Antoni Cumella;unk;1958
1160;Alberto;Signo de mujer rural en un camino, lloviendo;1925-1930
1180;Antoni Cumella;unk;1958
1181;Jorge Oteiza;Desocupación no cúbica del espacio;1959
1182;Jorge Oteiza;Caja metafísica por conjunción de dos triedros;1959
1183;Ángel Ferrant;Serie Venecia 19;1960
1184;Antoni Cumella;unk;1961
1185;Antoni Cumella;unk;1963
1194;Hans Haacke;Condensation Cube;1965 (2006) (2013)
1195;Keith Sonnier;Neon with Cut Glass;1968 (1998)
1161;Joaquín Torres-García;Contrapunto;1929
1162;Joaquín Torres-García;Forma abstracta;1929
1196;Castoro, Rosemarie;Spine on its Side;1970
1186;Sol LeWitt;2 part piece 221;1975
1191;Alexander Calder;unk;1931
1187;Donald Judd;unk;1984
1192;Alexander Calder;unk;1931
